reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
UR14,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_13 R_OPT_MONITOR_13
UR15,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_14 R_OPT_MONITOR_14
UR16,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_15 R_OPT_MONITOR_15
UR17,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_16 R_OPT_MONITOR_16
UR18,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_17 R_OPT_MONITOR_17
UR19,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_18 R_OPT_MONITOR_18
UR20,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_19 R_OPT_MONITOR_19
UR21,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_20 R_OPT_MONITOR_20
UR22,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_21 R_OPT_MONITOR_21
UR23,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_22 R_OPT_MONITOR_22
UR24,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_23 R_OPT_MONITOR_23
UR25,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_24 R_OPT_MONITOR_24
UR26,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_25 R_OPT_MONITOR_25
UR27,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_26 R_OPT_MONITOR_26
UR28,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_27 R_OPT_MONITOR_27
UR29,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_28 R_OPT_MONITOR_28
UR30,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_29 R_OPT_MONITOR_29
UR31,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_30 R_OPT_MONITOR_30
UR32,BUFFER_DRIVER_TBD,,,,2,2,R_EO_DRIVE_31 R_OPT_MONITOR_31
URB01,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_00 R_AUX_PROTECTED_00
URB02,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_01 R_AUX_PROTECTED_01
URB03,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_02 R_AUX_PROTECTED_02
URB04,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_03 R_AUX_PROTECTED_03
URB05,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_04 R_AUX_PROTECTED_04
URB06,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_05 R_AUX_PROTECTED_05
URB07,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_06 R_AUX_PROTECTED_06
URB08,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_07 R_AUX_PROTECTED_07
URB09,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_08 R_AUX_PROTECTED_08
URB10,AUX_DRIVER_TBD,,,,2,2,R_AUX_EXT_09 R_AUX_PROTECTED_09
URREG,MULTIRAIL_REGULATOR_TBD,,,,21,0,
UTBIAS,TFLN_BIAS_DAC_TBD,,,,17,0,
UTMON,TFLN_MONITOR_ADC_TBD,,,,17,0,
U_ASIC_SOCKET_1,PLACEHOLDER_ASIC_NCE_SOCKET_BGA_LGA,,,,49,0,
